CIVIC_CENTRE,MARRIAGE_LICENSES,year,month
NY,257,2016,04
SC,246,2016,04
TO,695,2016,04
ET,247,2016,05
NY,326,2016,05
SC,306,2016,05
TO,895,2016,05
ET,255,2016,06
NY,344,2016,06
SC,341,2016,06
TO,1071,2016,06
ET,274,2016,07
NY,384,2016,07
SC,348,2016,07
TO,1041,2016,07
ET,296,2016,08
NY,358,2016,08
SC,333,2016,08
TO,1072,2016,08
ET,228,2016,09
NY,265,2016,09
SC,207,2016,09
TO,656,2016,09
ET,139,2016,10
NY,187,2016,10
SC,171,2016,10
TO,489,2016,10
ET,82,2016,11
NY,148,2016,11
SC,135,2016,11
TO,388,2016,11
ET,96,2016,12
NY,164,2016,12
SC,125,2016,12
TO,362,2016,12
ET,102,2017,01
NY,146,2017,01
SC,147,2017,01
TO,347,2017,01
ET,104,2017,02
NY,170,2017,02
SC,139,2017,02
TO,357,2017,02
ET,183,2017,03
NY,237,2017,03
SC,223,2017,03
TO,608,2017,03
ET,173,2017,04
NY,276,2017,04
SC,222,2017,04
TO,627,2017,04
ET,234,2017,05
NY,323,2017,05
SC,323,2017,05
TO,894,2017,05
ET,250,2017,06
NY,350,2017,06
SC,346,2017,06
TO,943,2017,06
ET,287,2017,07
NY,367,2017,07
SC,320,2017,07
TO,971,2017,07
ET,324,2017,08
NY,344,2017,08
SC,312,2017,08
TO,1066,2017,08
ET,207,2017,09
NY,268,2017,09
SC,233,2017,09
TO,729,2017,09
ET,144,2017,10
NY,219,2017,10
SC,194,2017,10
TO,552,2017,10
ET,98,2017,11
NY,185,2017,11
SC,160,2017,11
TO,393,2017,11
ET,114,2017,12
NY,156,2017,12
SC,132,2017,12
TO,385,2017,12
ET,128,2018,01
NY,156,2018,01
SC,156,2018,01
TO,375,2018,01
ET,145,2018,02
NY,182,2018,02
SC,149,2018,02
TO,344,2018,02
ET,177,2018,03
NY,235,2018,03
SC,187,2018,03
TO,538,2018,03
ET,188,2018,04
NY,238,2018,04
SC,239,2018,04
TO,657,2018,04
ET,229,2018,05
NY,337,2018,05
SC,302,2018,05
TO,880,2018,05
ET,279,2018,06
NY,337,2018,06
SC,338,2018,06
TO,964,2018,06
ET,324,2018,07
NY,408,2018,07
SC,347,2018,07
TO,1090,2018,07
ET,365,2018,08
NY,323,2018,08
SC,392,2018,08
TO,1117,2018,08
ET,209,2018,09
NY,256,2018,09
SC,216,2018,09
TO,719,2018,09
ET,187,2018,10
NY,227,2018,10
SC,186,2018,10
TO,582,2018,10
ET,140,2018,11
NY,199,2018,11
SC,169,2018,11
TO,397,2018,11
ET,108,2018,12
NY,157,2018,12
SC,123,2018,12
TO,329,2018,12
ET,123,2019,01
NY,162,2019,01
SC,151,2019,01
TO,341,2019,01
ET,143,2019,02
NY,190,2019,02
SC,158,2019,02
TO,382,2019,02
ET,170,2019,03
NY,236,2019,03
SC,240,2019,03
TO,576,2019,03
ET,193,2019,04
NY,290,2019,04
SC,237,2019,04
TO,724,2019,04
ET,235,2019,05
NY,336,2019,05
SC,285,2019,05
TO,879,2019,05
ET,242,2019,06
NY,315,2019,06
SC,280,2019,06
TO,901,2019,06
ET,308,2019,07
NY,407,2019,07
SC,323,2019,07
TO,1079,2019,07
ET,281,2019,08
NY,384,2019,08
SC,329,2019,08
TO,1011,2019,08
ET,220,2019,09
NY,247,2019,09
SC,221,2019,09
TO,738,2019,09
ET,150,2019,10
NY,228,2019,10
SC,172,2019,10
TO,576,2019,10
ET,120,2019,11
NY,198,2019,11
SC,156,2019,11
TO,433,2019,11
ET,122,2019,12
NY,187,2019,12
SC,153,2019,12
TO,393,2019,12
ET,130,2020,01
NY,168,2020,01
SC,171,2020,01
TO,426,2020,01
ET,130,2020,02
NY,184,2020,02
SC,160,2020,02
TO,434,2020,02
ET,101,2020,03
NY,122,2020,03
SC,99,2020,03
TO,294,2020,03
TO,47,2020,04
TO,123,2020,05
NY,167,2020,06
SC,222,2020,06
TO,248,2020,06
NY,718,2020,07
SC,782,2020,07
NY,776,2020,08
SC,637,2020,08
NY,864,2020,09
SC,569,2020,09
NY,536,2020,10
SC,581,2020,10
NY,366,2020,11
SC,320,2020,11
NY,168,2020,12
SC,200,2020,12
